OCRE,Side,Legend
ric.3.ant.1184_as,obverse,DIVA FAVSTINA
ric.3.ant.1184_as,reverse,AVGVSTA S C
ric.3.ant.1185_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1185_dupondius,reverse,CERES S C
ric.3.ant.1185_as,obverse,DIVA FAVSTINA
ric.3.ant.1185_as,reverse,CERES S C
ric.3.ant.1186_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1186_dupondius,reverse,CERES S C
ric.3.ant.1186_as,obverse,DIVA FAVSTINA
ric.3.ant.1186_as,reverse,CERES S C
ric.3.ant.1187a_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1187a_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1187a_as,obverse,DIVA FAVSTINA
ric.3.ant.1187a_as,reverse,CONSECRATIO S C
ric.3.ant.1187b_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1187b_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1187b_as,obverse,DIVA FAVSTINA
ric.3.ant.1187b_as,reverse,CONSECRATIO S C
ric.3.ant.1188a_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1188a_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1188b_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1188b_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1188b_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1188b_as,reverse,CONSECRATIO S C
ric.3.ant.1189_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1189_dupondius,reverse,CONSECRATIO S C
ric.3.ant.1189_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1189_as,reverse,CONSECRATIO S C
ric.2.tr.601,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.601,reverse,S P Q R OPTIMO PRINCIPI S C
ric.3.ant.1190_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1190_dupondius,reverse,IVNO S C
ric.3.ant.1190_as,obverse,DIVA FAVSTINA
ric.3.ant.1190_as,reverse,IVNO S C
ric.3.ant.1191Aa_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1191Aa_dupondius,reverse,PIET AVG S C
ric.3.ant.1191Aa_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1191Aa_as,reverse,PIET AVG S C
ric.3.ant.1191Ab_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1191Ab_dupondius,reverse,PIET AVG S C
ric.3.ant.1191Ab_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1191Ab_as,reverse,PIET AVG S C
ric.3.ant.1191B_dupondius,obverse,DIVA AVG FAVSTINA
ric.3.ant.1191B_dupondius,reverse,PIET AVG S C
ric.3.ant.1191B_as,obverse,DIVA AVG FAVSTINA
ric.3.ant.1191B_as,reverse,PIET AVG S C
ric.3.ant.1192Aa_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1192Aa_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1192Aa_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1192Aa_as,reverse,PIETAS AVG S C
ric.2.tr.605,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.605,reverse,S P Q R OPTIMO PRINCIPI S C ALIM ITAL
ric.3.ant.1192Ab_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1192Ab_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1192Ab_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1192Ab_as,reverse,PIETAS AVG S C
ric.3.ant.1192b_dupondius,obverse,DIVA AVG FAVSTINA
ric.3.ant.1192b_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1192b_as,obverse,DIVA AVG FAVSTINA
ric.3.ant.1192b_as,reverse,PIETAS AVG S C
ric.3.ant.1193A_dupondius,obverse,DIVA AVG FAVSTINA
ric.3.ant.1193A_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1193A_as,obverse,DIVA AVG FAVSTINA
ric.3.ant.1193A_as,reverse,PIETAS AVG S C
ric.3.ant.1193B_dupondius,obverse,DIVA AVG FAVSTINA
ric.3.ant.1193B_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1193B_as,obverse,DIVA AVG FAVSTINA
ric.3.ant.1193B_as,reverse,PIETAS AVG S C
ric.3.ant.1194_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1194_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1194_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1194_as,reverse,PIETAS AVG S C
ric.3.ant.1195_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1195_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1195_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1195_as,reverse,PIETAS AVG S C
ric.2.tr.608_as,obverse,IMP NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.608_as,reverse,S P Q R OPTIMO PRINCIPI S C AQVA TRAIANA
ric.3.ant.1196_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1196_dupondius,reverse,S C
ric.3.ant.1196_as,obverse,DIVA FAVSTINA
ric.3.ant.1196_as,reverse,S C
ric.3.ant.1197_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1197_dupondius,reverse,S C
ric.3.ant.1197_as,obverse,DIVA FAVSTINA
ric.3.ant.1197_as,reverse,S C
ric.3.ant.1198a_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1198a_dupondius,reverse,S C
ric.3.ant.1198a_as,obverse,DIVA FAVSTINA
ric.3.ant.1198a_as,reverse,S C
ric.3.ant.1198b_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1198b_dupondius,reverse,S C
ric.3.ant.1198b_as,obverse,DIVA FAVSTINA
ric.3.ant.1198b_as,reverse,S C
ric.3.ant.1199a_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1199a_dupondius,reverse,S C
ric.3.ant.1199a_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1199a_as,reverse,S C
ric.3.ant.1199b_dupondius,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1199b_dupondius,reverse,S C
ric.3.ant.1199b_as,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1199b_as,reverse,S C
ric.3.ant.1200_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1200_dupondius,reverse,SALVTI AVGVSTAE S C
ric.3.ant.1200_as,obverse,DIVA FAVSTINA
ric.3.ant.1200_as,reverse,SALVTI AVGVSTAE S C
ric.3.ant.1200A_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1200A_dupondius,reverse,VESTA S C
ric.3.ant.1200A_as,obverse,DIVA FAVSTINA
ric.3.ant.1200A_as,reverse,VESTA S C
ric.3.ant.1201,obverse,DIVA FAVSTINA
ric.3.ant.1201,reverse,P M TR P VI IMP IIII COS II PAX S C
ric.3.ant.1202,obverse,DIVA FAVSTINA
ric.3.ant.1202,reverse,TR P VI IMP IIII COS II PAX
ric.3.ant.1203,obverse,DIVA AVGVSTA FAVSTINA
ric.3.ant.1203,reverse,TR POT COS II S C
ric.3.ant.1204_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1204_dupondius,reverse,ITOVIA S C
ric.3.ant.1204_as,obverse,DIVA FAVSTINA
ric.3.ant.1204_as,reverse,ITOVIA S C
ric.3.ant.1205_dupondius,obverse,DIVA FAVSTINA
ric.3.ant.1205_dupondius,reverse,DIVA FAVSTINA
ric.3.ant.1205_as,obverse,DIVA FAVSTINA
ric.3.ant.1205_as,reverse,DIVA FAVSTINA
ric.3.ant.1206A,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1206A,reverse,AVRELIVS CAES AVG PII F COS DES S C
ric.3.ant.1206B,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1206B,reverse,AVRELIVS CAES AVG PII F COS DES S C
ric.2.tr.621,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.621,reverse,DACIA AVGVST PROVINCIA S C
ric.3.ant.1208A,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1208A,reverse,AVRELIVS CAES AVG PII F COS DES S C
ric.3.ant.1208B,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1208B,reverse,AVRELIVS CAES AVG PII F COS DES S C
ric.3.ant.1209,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1209,reverse,AVRELIVS CAES AVG PII F COS DES S C
ric.3.ant.1210,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1210,reverse,AVRELIVS CAES AVG PII F COS DES S C
ric.3.ant.1211,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1211,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1212,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1212,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1213,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1213,reverse,AVRELIVS CAES AVG PII F COS S C
ric.3.ant.1214,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1214,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1215,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1215,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1216,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1216,reverse,AVRELIVS CAES AVG PII F COS S C
ric.3.ant.1217,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1217,reverse,AVRELIVS CAES AVG PII F COS S C
ric.3.ant.1218,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1218,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1219,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1219,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1219A,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1219A,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.2.tr.625_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.625_sestertius,reverse,FELICITAS AVGVST S C
ric.3.ant.1220A,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1220A,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1221A,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1221A,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1221B,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1221B,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1222,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1222,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1223,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1223,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1224,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1224,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1225,obverse,ANTONINVS AVG PIVS P P I TR P COS III
ric.3.ant.1225,reverse,AVRELIVS CAES AVG PII F COS S C
ric.3.ant.1226,obverse,ANTONINVS AVG PIVS P P
ric.3.ant.1226,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1227,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1227,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1228,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1228,reverse,AVRELIVS CAESAR AVG PII F COS S C
ric.3.ant.1229,obverse,ANTONINVS AVG PIVS P P TR P COS III
ric.3.ant.1229,reverse,AVRELIVS CAES AVG PII F COS S C
ric.2.tr.628_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS VI P P
ric.2.tr.628_as,reverse,FORTVNAE REDVCI S C
ric.3.ant.1231,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1231,reverse,HONOS S C
ric.3.ant.1232A,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1232A,reverse,IVVENTAS S C
ric.3.ant.1232B,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1232B,reverse,IVVENTAS S C
ric.3.ant.1232C,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1232C,reverse,IVVENTAS S C
ric.3.ant.1233A,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1233A,reverse,IVVENTAS S C
ric.3.ant.1233B,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1233B,reverse,IVVENTAS S C
ric.3.ant.1234A,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1234A,reverse,PIETAS AVG S C
ric.3.ant.1234B,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1234B,reverse,PIETAS AVG S C
ric.3.ant.1234C,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1234C,reverse,PIETAS AVG S C
ric.3.ant.1235,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1235,reverse,S C
ric.3.ant.1236_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1236_dupondius,reverse,HILARITAS S C
ric.3.ant.1236_as,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1236_as,reverse,HILARITAS S C
ric.3.ant.1237_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1237_dupondius,reverse,HONOS S C
ric.3.ant.1237_as,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1237_as,reverse,HONOS S C
ric.3.ant.1238_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1238_dupondius,reverse,IVVENTAS S C
ric.3.ant.1238_as,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1238_as,reverse,IVVENTAS S C
ric.3.ant.1239_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1239_dupondius,reverse,IVVENTAS S C
ric.3.ant.1239_as,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1239_as,reverse,IVVENTAS S C
ric.3.ant.1240A_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1240A_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1240A_as,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1240A_as,reverse,PIETAS AVG S C
ric.3.ant.1240B_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1240B_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1240B_as,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1240B_as,reverse,PIETAS AVG S C
ric.3.ant.1240C_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1240C_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1240C_as,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1240C_as,reverse,PIETAS AVG S C
ric.2.tr.642,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC P M TR P COS VI P P
ric.2.tr.642,reverse,ARMENIA ET MESOPOTAMIA IN POTESTATEM P R REDACTAE S C
ric.3.ant.1240D_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1240D_dupondius,reverse,PIETAS AVG S C
ric.3.ant.1240D_as,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1240D_as,reverse,PIETAS AVG S C
ric.3.ant.1241,obverse,AVRELIVS CAESAR AVG PII F COS
ric.3.ant.1241,reverse,DES II S C
ric.3.ant.1242A,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1242A,reverse,HILARITAS S C
ric.3.ant.1242B,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1242B,reverse,HILARITAS S C
ric.3.ant.1243A,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1243A,reverse,S C
ric.3.ant.1243B,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1243B,reverse,S C
ric.3.ant.1244,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1244,reverse,S C
ric.3.ant.1245,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1245,reverse,S C
ric.3.ant.1246,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1246,reverse,S C
ric.2.tr.648,obverse,IMP CAES NER TRAIANO OPTIMO AVG GERM
ric.2.tr.648,reverse,DAC PARTHICO P M TR POT XX COS VI P P
ric.3.ant.1248,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1248,reverse,TR POT COS II S C
ric.3.ant.1249,obverse,AVRELIVS CAESAR AVG PII FIL
ric.3.ant.1249,reverse,TR POT COS II S C
ric.3.ant.1250,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1250,reverse,TR POT COS II S C
ric.3.ant.1251,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1251,reverse,TR POT COS II S C
ric.3.ant.1252,obverse,AVRELIVS CAES AVG PII F
ric.3.ant.1252,reverse,VIRTVS COS II S C
ric.3.ant.1253A,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1253A,reverse,VOTA PVBLICA S C
ric.3.ant.1253B,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1253B,reverse,VOTA PVBLICA S C
ric.3.ant.1254_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1254_dupondius,reverse,CONCORDIA S C
ric.3.ant.1254_as,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1254_as,reverse,CONCORDIA S C
ric.3.ant.1255_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1255_dupondius,reverse,CONCORDIA COS II S C
ric.3.ant.1255_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1255_as,reverse,CONCORDIA COS II S C
ric.3.ant.1256_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1256_dupondius,reverse,COS II S C
ric.3.ant.1256_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1256_as,reverse,COS II S C
ric.3.ant.1257_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1257_dupondius,reverse,COS II S C
ric.3.ant.1257_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1257_as,reverse,COS II S C
ric.3.ant.1258_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1258_dupondius,reverse,COS II S C
ric.3.ant.1258_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1258_as,reverse,COS II S C
ric.3.ant.1259_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1259_dupondius,reverse,COS II S C
ric.3.ant.1259_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1259_as,reverse,COS II S C
ric.3.ant.1260_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1260_dupondius,reverse,HILARITAS S C
ric.3.ant.1260_as,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1260_as,reverse,HILARITAS S C
ric.3.ant.1261_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1261_dupondius,reverse,IVVENTVS COS II S C
ric.3.ant.1261_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1261_as,reverse,IVVENTVS COS II S C
ric.3.ant.1262_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1262_dupondius,reverse,IVVENTVS S C
ric.3.ant.1262_as,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1262_as,reverse,IVVENTVS S C
ric.3.ant.1263_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1263_dupondius,reverse,S C
ric.3.ant.1263_as,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1263_as,reverse,S C
ric.2.tr.662,obverse,IMP CAES TRAIANO OPTIMO AVG GER DAC P M TR P COS VI P P
ric.2.tr.662,reverse,PROFECTIO AVG S C
ric.3.ant.1264_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1264_dupondius,reverse,S C
ric.3.ant.1264_as,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1264_as,reverse,S C
ric.3.ant.1265_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1265_dupondius,reverse,S C
ric.3.ant.1265_as,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1265_as,reverse,S C
ric.3.ant.1266_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1266_dupondius,reverse,TR POT COS II S C
ric.3.ant.1266_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1266_as,reverse,TR POT COS II S C
ric.3.ant.1267_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1267_dupondius,reverse,TR POT COS II S C
ric.3.ant.1267_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1267_as,reverse,TR POT COS II S C
ric.3.ant.1268_dupondius,obverse,AVRELIVS CAESAR ANTON AVG PII F
ric.3.ant.1268_dupondius,reverse,VIRTVS COS II S C
ric.3.ant.1268_as,obverse,AVRELIVS CAESAR ANTON AVG PII F
ric.3.ant.1268_as,reverse,VIRTVS COS II S C
ric.2.tr.668,obverse,IMP CAES NER TRAIANO OPTIMO AVG GER DAC PARTHICO P M TR P COS VI P P
ric.2.tr.668,reverse,REX PARTHIS DATVS S C
ric.3.ant.1269_dupondius,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1269_dupondius,reverse,VOTA PVBLICA S C
ric.3.ant.1269_as,obverse,AVRELIVS CAESAR AVG PII F COS II
ric.3.ant.1269_as,reverse,VOTA PVBLICA S C
ric.3.ant.1270,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1270,reverse,TR POT II COS II S C
ric.3.ant.1271A_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1271A_dupondius,reverse,TR POT II COS II HONOS S C
ric.3.ant.1271A_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1271A_as,reverse,TR POT II COS II HONOS S C
ric.3.ant.1271B_dupondius,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1271B_dupondius,reverse,TR POT II COS II HONOS S C
ric.3.ant.1271B_as,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1271B_as,reverse,TR POT II COS II HONOS S C
ric.3.ant.1272,obverse,AVRELIVS CAESAR ANTONINI AVG PII F
ric.3.ant.1272,reverse,TR POT III COS II S C
ric.3.ant.1273,obverse,AVRELIVS CAESAR AVG PII FIL
ric.3.ant.1273,reverse,TR POT III COS II S C
ric.3.ant.1274A,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1274A,reverse,TR POT III COS II S C
ric.3.ant.1274B,obverse,AVRELIVS CAESAR AVG PII FIL
ric.3.ant.1274B,reverse,TR POT III COS II S C
ric.3.ant.1275,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1275,reverse,TR POT III COS II CLE S C
ric.3.ant.1276,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1276,reverse,TR POT III COS II CLEM S C
ric.3.ant.1277,obverse,AVRELIVS CAESAR ANTONINI AVG PII F
ric.3.ant.1277,reverse,TR POT III COS II CLEM S C
ric.3.ant.1278,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1278,reverse,TR POT III COS II CLEM S C
ric.3.ant.1279,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1279,reverse,TR POT III COS II HONOS S C
ric.3.ant.1280,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1280,reverse,TR POT III COS II PIETAS S C
ric.3.ant.1281A,obverse,AVRELIVS CAESAR AVG PII F
ric.3.ant.1281A,reverse,TR POT III COS II PIETAS S C
